Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:5elSi9jXBz24coShDKgpBz,"Dry Eyes","Strangers in Dub (Bert Kaempfert meets De-Phazz)","De-Phazz",2018-11-16,225279,24,false,31zmfya6neh4bmotd5fuwy7gfpom,2026-03-02T11:00:21Z,"ню-джаз,эйсид-джаз,даунтемпо,лаундж,трип-хоп","Silver Spot",0.709,0.415,1,-13.142,1,0.028,0.169,0.939,0.11,0.441,100.451,3
spotify:track:3OBwh3Y2RJK0hMf5dQ46MU,"Anima","Badapapapaa Reloaded","Angela Puxi",2016-04-22,360000,0,false,31zmfya6neh4bmotd5fuwy7gfpom,2026-03-02T11:00:21Z,"","4MPO",0.658,0.256,8,-16.937,1,0.06,0.626,0.799,0.284,0.297,164.019,4
spotify:track:1yYQYkt1UGP7ZkD4rJoDzo,"Not the End","Seven","Lemongrass;Jane Maximova",2019-05-10,291031,5,false,31zmfya6neh4bmotd5fuwy7gfpom,2026-03-02T11:00:21Z,"даунтемпо,лаундж,ню-джаз,трип-хоп","Lemongrassmusic",0.566,0.394,1,-10.493,0,0.0631,0.364,0.882,0.0995,0.0743,179.897,4
spotify:track:34OAC4EyfCsDP63DPD1VvD,"Shores","Shores","Ash;Moonessa",2019-05-10,212307,0,false,31zmfya6neh4bmotd5fuwy7gfpom,2026-03-02T11:00:21Z,"","Ash",0.714,0.522,5,-7.757,0,0.0247,0.513,0.194,0.0868,0.269,104.002,4
spotify:track:0xJ2KATOUq8Se4Lz3FrLs0,"You & I","You & I","Christophe Goze",2019-04-29,289199,0,false,31zmfya6neh4bmotd5fuwy7gfpom,2026-03-02T11:00:21Z,"смус-джаз,лаундж","Goze Limited",0.734,0.443,0,-11.789,0,0.0475,0.881,0.914,0.107,0.799,80.016,4
spotify:track:0ChWJz4t3KBaf4nTm3Du7i,"It's Just love","Someday","Henrik Villard",2019-05-03,396516,25,false,31zmfya6neh4bmotd5fuwy7gfpom,2026-03-02T11:00:21Z,"lo-fi-хаус,джаз-хаус,дип-хаус","Tooman Records",0.963,0.69,5,-9.319,0,0.344,0.215,0.00000142,0.196,0.9,120.984,4
spotify:track:50bmrXsCZ34rgfEXwIv14w,"Go with the Flow","Spiral","Weathertunes",2019-05-03,252000,1,false,31zmfya6neh4bmotd5fuwy7gfpom,2026-03-02T11:00:21Z,"лаундж,даунтемпо","Lemongrassmusic",0.545,0.548,1,-10.277,0,0.0375,0.9,0.872,0.102,0.646,159.999,4
spotify:track:6fDZDac4GnC3s8YEnU4U77,"Still Not Forgotten","Solar Nights","Satin Jackets",2019-04-26,295693,24,false,31zmfya6neh4bmotd5fuwy7gfpom,2026-03-02T11:00:21Z,"ню-диско","Eskimo Recordings",0.731,0.806,5,-7.539,0,0.0429,0.0123,0.804,0.101,0.65,105.002,4
spotify:track:6G8pwiYNno6fe6pP2pG8r1,"Grown Minds - KLar & PF Remix","Grown Minds","Blank & Jones;KLar & PF",2019-05-24,217400,8,false,31zmfya6neh4bmotd5fuwy7gfpom,2026-03-02T11:00:21Z,"транс,лаундж,ню-диско,фанки-хаус","Soundcolours",0.769,0.409,1,-11.051,1,0.042,0.276,0.0102,0.0916,0.837,99.977,4
spotify:track:0EA3KTYIkYPZjZyL24igl5,"Spring Equinox","Spring Equinox","The Sura Quintet",2019-04-22,349565,0,false,31zmfya6neh4bmotd5fuwy7gfpom,2026-03-02T11:00:21Z,"лаундж","Stereoheaven",0.697,0.652,9,-7.979,0,0.0382,0.25,0.873,0.113,0.852,91.982,4
